ref,status,description,link,url,Reference,Alternative Reference,Application Received,Application Validated,Address,Proposal,Status,Decision,Decision Issued Date,Appeal Status,Appeal Decision
S/COND/25/0450,Conditions Partially Discharged,"Discharge of Conditions (11) LEAMP (13) Tree Protection (22) Car Parking Standards (42) Surface Water Drainage (44) Land Contamination (52) Commercial Ventilation (53) Slab Levels (54) Materials (56) Street Lighting & Furniture (62) Refuse Storage from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SU5E3FPTL5M00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SU5E3FPTL5M00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0450,PP-13894757,2025-04-03,Thu 03 Apr 2025,"Land At Parcels R8 And R9 (East And West Of Old Vicarage Lane) New Eastern Villages, South Marston Land North Of A420","Discharge of Conditions (11) LEAMP (13) Tree Protection (22) Car Parking Standards (42) Surface Water Drainage (44) Land Contamination (52) Commercial Ventilation (53) Slab Levels (54) Materials (56) Street Lighting & Furniture (62) Refuse Storage from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2025-07-22,Not Applicable,Not Applicable
S/25/0595/MOD106,Application Pending Consideration,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 2 of outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SW6ZCLPT0KN00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SW6ZCLPT0KN00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/25/0595/MOD106,Not Applicable,2025-04-29,Tue 29 Apr 2025,Land North Of A420 Eastern Villages Swindon,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 2 of outline permission S/OUT/13/1555.",Application Pending Decision,,,Not Applicable,Not Applicable
S/COND/25/0650,Conditions Partially Discharged,"Partial Discharge of Condition 9 - Character Area Design Code from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SWPZFIPTMOJ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SWPZFIPTMOJ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0650,PP-14044488,2025-05-23,Fri 23 May 2025,Land North Of A420 Eastern Villages Swindon,"Partial Discharge of Condition 9 - Character Area Design Code from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2025-09-03,Not Applicable,Not Applicable
S/RES/25/0693,Reserved Matters Approved,"Reserved matters application (following planning application S/OUT/13/1555) for details of the layout, scale, appearance, and landscaping in relation to the Brook Surface Water Outfall within South Marston Phase 1. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SX8F17PTMYZ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SX8F17PTMYZ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/0693,PP-13892762,2025-06-02,Thu 12 Jun 2025,Land North Of A420 South Marston Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the layout, scale, appearance, and landscaping in relation to the Brook Surface Water Outfall within South Marston Phase 1. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Permitted,Reserved Matters Approved,2025-10-02,Not Applicable,Not Applicable
S/RES/25/0828,Reserved Matters Approved,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston East electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SYQ9UTPTG7S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SYQ9UTPTG7S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/0828,PP-14138545,2025-07-02,Wed 02 Jul 2025,"Land To The North Of The A420, Known As South Marston And Rowborough Swindon","Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston East electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Permitted,Reserved Matters Approved,2025-10-16,Not Applicable,Not Applicable
S/RES/25/0836,Reserved Matters Approved,"Reserved matters application (following planning application S/OUT/13/1555) for Land North of A420, Eastern Villages. Details of the access, layout, scale, appearance and landscaping in relation to the western section of the Northern Loop Road connecting from the Primary Street to Parcels R1 and R2; and onwards to the north of Parcel R3. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SYS23KPTG9I00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SYS23KPTG9I00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/0836,PP-14085063,2025-07-03,Thu 03 Jul 2025,"Land To The North Of The A420, Known As South Marston And Rowborough Swindon","Reserved matters application (following planning application S/OUT/13/1555) for Land North of A420, Eastern Villages. Details of the access, layout, scale, appearance and landscaping in relation to the western section of the Northern Loop Road connecting from the Primary Street to Parcels R1 and R2; and onwards to the north of Parcel R3. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Permitted,Reserved Matters Approved,2025-12-18,Not Applicable,Not Applicable
S/COND/25/0852,Conditions Partially Discharged,"Partial Discharge of Conditions (36) Construction Method Statement (37) Construction & Environmental Management Plan (61) Broadband from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SZ362LPTGFS00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SZ362LPTGFS00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0852,PP-14147508,2025-07-08,Tue 08 Jul 2025,Land North Of A420 Eastern Villages Swindon,"Partial Discharge of Conditions (36) Construction Method Statement (37) Construction & Environmental Management Plan (61) Broadband from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2026-02-04,Not Applicable,Not Applicable
S/COND/25/0854,Conditions Discharged,"Partial Discharge of Condition (10) FLEAMP from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SZ38KLPTGG000&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=SZ38KLPTGG000&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0854,PP-14155773,2025-07-08,Tue 08 Jul 2025,Land North Of A420 Eastern Villages Swindon,"Partial Discharge of Condition (10) FLEAMP from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Conditions Discharged,Conditions Discharged,2025-09-02,Not Applicable,Not Applicable
S/COND/25/0950,Conditions Discharged,"Discharge of conditions 11 (LEAMP), 31 (Movement Phasing Plan),and 42 (Surface Water Drainage) from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T049W2PTH3B00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T049W2PTH3B00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0950,PP-14084936,2025-07-28,Mon 28 Jul 2025,Land North Of A420 Eastern Villages Swindon,"Discharge of conditions 11 (LEAMP), 31 (Movement Phasing Plan),and 42 (Surface Water Drainage) from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Conditions Discharged,Conditions Discharged,2025-10-03,Not Applicable,Not Applicable
S/COND/25/0971,Conditions Partially Discharged,Partial Discharge of Conditions (11) LEAMP (13) Tree Protection (17) Bats (31) Movement Phasing Plan (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (53) Slab Levels (54) Materials in relation to the South Marston Northern Loop from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0BAUUPTH7N00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0BAUUPTH7N00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0971,PP-14211716,2025-08-01,Fri 01 Aug 2025,Land North Of A420 Eastern Villages Swindon,Partial Discharge of Conditions (11) LEAMP (13) Tree Protection (17) Bats (31) Movement Phasing Plan (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (53) Slab Levels (54) Materials in relation to the South Marston Northern Loop from previous application S/OUT/13/1555.,Decided,Conditions Partially Discharged,2025-12-18,Not Applicable,Not Applicable
S/COND/25/0972,Conditions Partially Discharged,Discharge of Condition (31) Movement Phasing Strategy (36) Construction Method Statement (37) Construction and Environmental Management Plan (61) Broadband from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0BAWFPTH7P00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0BAWFPTH7P00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0972,PP-14214674,2025-08-01,Fri 01 Aug 2025,Land North Of A420 Eastern Villages Swindon,Discharge of Condition (31) Movement Phasing Strategy (36) Construction Method Statement (37) Construction and Environmental Management Plan (61) Broadband from previous application S/OUT/13/1555.,Decided,Conditions Partially Discharged,2026-02-04,Not Applicable,Not Applicable
S/COND/25/0974,Conditions Discharged,"Discharge of Conditions (2) Facing Materials (3) Surface Materials (5) Means of Enclosure from previous application S/RES/24/0947 - A reserved matters application (access, appearance, layout, scale and landscaping) for 137 dwellings and associated infrastructure - Reserved Matters from previous outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0GJIZPTHA100&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T0GJIZPTHA100&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/0974,PP-14168308,2025-08-04,Mon 04 Aug 2025,Parcels R6 And R7 Land North Of A420 Swindon,"Discharge of Conditions (2) Facing Materials (3) Surface Materials (5) Means of Enclosure from previous application S/RES/24/0947 - A reserved matters application (access, appearance, layout, scale and landscaping) for 137 dwellings and associated infrastructure - Reserved Matters from previous outline permission S/OUT/13/1555.",Conditions Discharged,Conditions Discharged,2026-02-04,Not Applicable,Not Applicable
S/COND/25/1039,Conditions Discharged,"Discharge of Condition (3) Crossing Construction Detail from previous application S/RES/24/0551 - Reserved Matters application (following planning application S/OUT/13/1555) for details of the layout, scale, appearance, access and landscaping in relation to a foul water pumping station. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T18EATPTHQV00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T18EATPTHQV00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/1039,PP-14239667,2025-08-19,Tue 19 Aug 2025,Land North Of A420 Eastern Villages Swindon,"Discharge of Condition (3) Crossing Construction Detail from previous application S/RES/24/0551 - Reserved Matters application (following planning application S/OUT/13/1555) for details of the layout, scale, appearance, access and landscaping in relation to a foul water pumping station. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Conditions Discharged,Conditions Discharged,2025-10-10,Not Applicable,Not Applicable
S/RES/25/1071,Reserved Matters Approved,"A reserved matters application (access, appearance, layout, scale and landscaping) for 65 dwellings and associated infrastructure. The outline planning application was accompanied by an Environmental Statement.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T1N8KMPTI0G00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T1N8KMPTI0G00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1071,PP-14211118,2025-08-28,Wed 03 Sep 2025,Parcel R12 Land North Of A420 Swindon,"A reserved matters application (access, appearance, layout, scale and landscaping) for 65 dwellings and associated infrastructure. The outline planning application was accompanied by an Environmental Statement.",Application Permitted,Reserved Matters Approved,2025-12-09,Not Applicable,Not Applicable
S/OC106/25/1162,Application Pending Consideration,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 3 of outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2QAELPT0PB00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2QAELPT0PB00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/OC106/25/1162,Not Applicable,2025-09-17,Fri 19 Sep 2025,Land North Of A420 Eastern Villages Swindon,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 3 of outline permission S/OUT/13/1555.",Application Pending Decision,,,Not Applicable,Not Applicable
S/COND/25/1168,Conditions Partially Discharged,"Partial Discharge of Condition (38) Archaeology WSI from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2QPT0PTIR600&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2QPT0PTIR600&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/1168,PP-14340189,2025-09-17,Wed 17 Sep 2025,Land North Of A420 Eastern Villages Swindon,"Partial Discharge of Condition (38) Archaeology WSIfrom previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2025-10-03,Not Applicable,Not Applicable
S/COND/25/1184,Conditions Partially Discharged,Partial Discharge of Condition (9) Design Code from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2UFAAPTITQ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T2UFAAPTITQ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/1184,PP-14346388,2025-09-19,Fri 19 Sep 2025,Land North Of A420 Eastern Villages Swindon,Partial Discharge of Condition (9) Design Code from previous application S/OUT/13/1555.,Decided,Conditions Partially Discharged,2026-02-23,Not Applicable,Not Applicable
S/COND/25/1314,Application Pending Consideration,Discharge of Conditions (11) LEAMP (13) Tree Protectiton (17) Bats (31) Movement Phasing Strategy (36) Construction Method Statement (37) CEMP (42) Surface Water Drainage (53) Slab Levels (54) Materials (56) Street Lighting from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T47Q9VPTJOX00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T47Q9VPTJOX00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/1314,PP-14211769,2025-10-16,Thu 16 Oct 2025,Land North Of A420 Eastern Villages Swindon,Discharge of Conditions (11) LEAMP (13) Tree Protectiton (17) Bats (31) Movement Phasing Strategy (36) Construction Method Statement (37) CEMP (42) Surface Water Drainage (53) Slab Levels (54) Materials (56) Street Lighting from previous application S/OUT/13/1555.,Application Pending Decision,,,Not Applicable,Not Applicable
